feature_id,surface,feature,entrypoint_or_route,source_evidence,user_story,expected_behavior,setup_preconditions,test_command_or_steps,status,first_test_result,error_id,error_summary,fix_status,retest_result,last_verified_at,notes
CLI-001,CLI,Generic model run harness,ctx,pyproject.toml project.scripts,As a user I can run or resume a model-agnostic ctx session,ctx creates or resumes a session with configured provider tools budgets and transcript ordering intact,Provider credentials or dry-run/local test provider available,ctx --help then focused run/resume smoke,Tested Pass,test_harness_cli_run.py: 67 passed for ctx run/resume/sessions.,,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-002,CLI,Repository recommendation,ctx-recommend,pyproject.toml project.scripts,As a user I can ask ctx for current repo recommendations,ctx returns capped relevant skill agent MCP recommendations from the shared graph engine,Graph installed and target repo available,ctx-recommend --help then sample repo recommendation,Tested Pass,recommend CLI/golden subset: 24 passed for ctx-recommend and shared recommendation surfaces.,,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-003,CLI,Initial setup,ctx-init,pyproject.toml project.scripts,As a new user I can install hooks graph and model mode from one command,ctx-init installs requested pieces idempotently and reports failures with non-zero exit,Writable user config directory,ctx-init --model-mode skip --graph,Tested Pass,PASS: temp USERPROFILE ctx-init --model-mode skip --knowledge-mode skip created .claude config/toolboxes and exited 0,,,,,2026-06-23,Graph install still needs separate full/runtime smoke
CLI-004,CLI,Claude hook install,ctx-install-hooks,pyproject.toml project.scripts,As a Claude Code user I can install ctx hooks,Hooks are installed idempotently and point to existing modules,Claude config path writable,ctx-install-hooks --help then temp-home smoke,Tested Pass,inject hooks/ctx-init hook subset: 24 passed for hook install and failure handling.,,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-005,CLI,Repo stack scan,ctx-scan-repo,pyproject.toml project.scripts,As a developer I can scan a repo and get stack plus recommendations,Scan detects stack signatures and renders recommendations consistently with graph engine,Sample repos available,ctx-scan-repo --repo . --recommend,Retested Pass,FAIL: first run classified ctx as ml-project because optional embeddings extra contains torch,CTX-AZ-002,Optional pyproject extras were treated as primary project-type dependencies,Fixed by excluding optional/dev pyproject deps from primary project-type classification while keeping them as searchable signals,PASS: focused scan tests 5 passed; live scan now reports Type infrastructure and recommendations render,2026-06-23,
CLI-006,CLI,Skill add,ctx-skill-add,pyproject.toml project.scripts,As a user I can add or update a skill,Skill is validated micro-skill gated written to wiki and attached to graph/index without duplicate stale edges,Temp skill directory and wiki path,ctx-skill-add --skill-path temp/SKILL.md --name demo --wiki temp/wiki,Retested Pass,Failed in isolated A-Z flow: Windows UTF-8 BOM input was rejected by markdown/JSON parsing; some rejected batch CLIs could still exit 0.,CTX-AZ-004,"Entity onboarding was not Windows-BOM-safe across skill/agent/MCP/harness inputs, and failed batches needed non-zero exits.",Fixed,Skill add accepted BOM-prefixed SKILL.md and wrote wiki entity in temp CLI flow. Focused pytest regressions passed.,2026-06-23,Regression coverage added for BOM inputs and MCP rejected-batch exit.
CLI-007,CLI,Skill install,ctx-skill-install,pyproject.toml project.scripts,As a Claude Code user I can install a recommended skill,Skill installs into Claude skills directory with manifest and safe overwrite behavior,Temp Claude home,ctx-skill-install --help then dry/smoke path if available,Tested Pass,"install/unload batch: 187 passed, including skill install behavior.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-008,CLI,Skill unload,ctx-skill-unload,pyproject.toml project.scripts,As a user I can unload stale skills,Skill is disabled/removed from active load state without deleting unrelated user files,Temp installed skill,ctx-skill-unload --help then temp uninstall smoke,Tested Pass,"install/unload batch: 187 passed, including skill unload behavior.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-009,CLI,Skill mirror,ctx-skill-mirror,pyproject.toml project.scripts,As a user I can mirror installed skills into wiki,Mirror preserves source metadata and does not overwrite higher quality records silently,Temp skill source,ctx-skill-mirror --help,Tested Pass,"mirror/quality batch: 123 passed, including skill mirror behavior.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-010,CLI,Skill health,ctx-skill-health,pyproject.toml project.scripts,As a maintainer I can check skill health,Health check reports missing frontmatter orphan entries and line drift with actionable exits,Repo graph/wiki available,ctx-skill-health --help then focused check,Tested Pass,"SkillSpector/health batch: 56 passed, including skill health behavior.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-011,CLI,Skill quality,ctx-skill-quality,pyproject.toml project.scripts,As a maintainer I can compute skill quality,Quality scores explain telemetry intake graph and routing signals,Repo graph/wiki available,ctx-skill-quality --help then sample,Tested Pass,"mirror/quality batch: 123 passed, including skill quality behavior.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
